cid,bdate,gen,dwh_create_date
AW00011086,1963-06-22,Male,2026-04-11 09:31:21.4933333
AW00011087,1963-04-02,Female,2026-04-11 09:31:21.4933333
AW00011088,1963-05-25,Male,2026-04-11 09:31:21.4933333
AW00011089,1962-08-05,Female,2026-04-11 09:31:21.4933333
AW00011090,1968-12-13,Male,2026-04-11 09:31:21.4933333
AW00011091,1962-10-02,Male,2026-04-11 09:31:21.4933333
AW00011092,1972-11-02,Female,2026-04-11 09:31:21.4933333
AW00011093,1978-09-06,Female,2026-04-11 09:31:21.4933333
AW00011094,1967-09-29,Male,2026-04-11 09:31:21.4933333
AW00011095,1968-02-29,Male,2026-04-11 09:31:21.4933333
AW00011096,1968-02-07,Male,2026-04-11 09:31:21.4933333
AW00011097,1972-10-23,Male,2026-04-11 09:31:21.4933333
AW00011098,1966-10-29,Female,2026-04-11 09:31:21.4933333
AW00011099,1966-09-05,Male,2026-04-11 09:31:21.4933333
AW00011100,1966-03-15,Female,2026-04-11 09:31:21.4933333
AW00011101,1970-11-05,Female,2026-04-11 09:31:21.4933333
AW00011102,1970-10-19,Female,2026-04-11 09:31:21.4933333
AW00011103,1981-04-12,Female,2026-04-11 09:31:21.4933333
AW00011104,1975-03-08,Male,2026-04-11 09:31:21.4933333
AW00011105,1970-06-27,Female,2026-04-11 09:31:21.4933333
AW00011106,1970-03-11,Male,2026-04-11 09:31:21.4933333
AW00011107,1976-03-04,Female,2026-04-11 09:31:21.4933333
AW00011108,1969-01-10,Female,2026-04-11 09:31:21.4933333
AW00011109,1980-04-30,Male,2026-04-11 09:31:21.4933333
AW00011110,1967-12-04,Male,2026-04-11 09:31:21.4933333
AW00011111,1967-08-23,Female,2026-04-11 09:31:21.4933333
AW00011112,1968-03-08,Female,2026-04-11 09:31:21.4933333
AW00011113,1973-02-17,Male,2026-04-11 09:31:21.4933333
AW00011114,1967-11-25,Female,2026-04-11 09:31:21.4933333
AW00011115,1967-08-12,Male,2026-04-11 09:31:21.4933333
AW00011116,1979-04-02,Male,2026-04-11 09:31:21.4933333
AW00011117,1966-08-21,Female,2026-04-11 09:31:21.4933333
AW00011118,1962-12-31,Male,2026-04-11 09:31:21.4933333
AW00011119,1940-10-07,Male,2026-04-11 09:31:21.4933333
AW00011120,1942-02-06,Female,2026-04-11 09:31:21.4933333
AW00011121,1966-05-18,Male,2026-04-11 09:31:21.4933333
AW00011122,1965-09-30,Male,2026-04-11 09:31:21.4933333
AW00011123,1965-12-18,Male,2026-04-11 09:31:21.4933333
AW00011124,1968-07-23,Male,2026-04-11 09:31:21.4933333
AW00011125,1961-10-06,Female,2026-04-11 09:31:21.4933333
AW00011126,1954-10-05,Male,2026-04-11 09:31:21.4933333
AW00011127,1981-04-19,Female,2026-04-11 09:31:21.4933333
AW00011128,1981-06-03,Female,2026-04-11 09:31:21.4933333
AW00011129,1981-02-01,Female,2026-04-11 09:31:21.4933333
AW00011130,1985-07-05,Female,2026-04-11 09:31:21.4933333
AW00011131,1985-09-09,Female,2026-04-11 09:31:21.4933333
AW00011132,1986-04-25,Female,2026-04-11 09:31:21.4933333
AW00011133,1986-03-08,Female,2026-04-11 09:31:21.4933333
AW00011134,1957-02-22,Male,2026-04-11 09:31:21.4933333
AW00011135,1985-05-02,Male,2026-04-11 09:31:21.4933333
AW00011136,1984-04-24,Female,2026-04-11 09:31:21.4933333
AW00011137,1984-01-17,Female,2026-04-11 09:31:21.4933333
AW00011138,1984-03-14,Female,2026-04-11 09:31:21.4933333
AW00011139,1949-11-05,Female,2026-04-11 09:31:21.4933333
AW00011140,1982-08-11,Male,2026-04-11 09:31:21.4933333
AW00011141,1982-12-19,Female,2026-04-11 09:31:21.4933333
AW00011142,1983-02-11,Male,2026-04-11 09:31:21.4933333
AW00011143,1982-08-04,Male,2026-04-11 09:31:21.4933333
AW00011144,1985-03-08,Male,2026-04-11 09:31:21.4933333
AW00011145,1985-06-06,Female,2026-04-11 09:31:21.4933333
AW00011146,1945-02-22,Female,2026-04-11 09:31:21.4933333
AW00011147,1944-08-04,Male,2026-04-11 09:31:21.4933333
AW00011148,1947-02-13,Male,2026-04-11 09:31:21.4933333
AW00011149,1946-10-18,Male,2026-04-11 09:31:21.4933333
AW00011150,1946-09-12,Male,2026-04-11 09:31:21.4933333
AW00011151,1947-08-25,Female,2026-04-11 09:31:21.4933333
AW00011152,1981-07-09,Male,2026-04-11 09:31:21.4933333
AW00011153,1981-12-21,Female,2026-04-11 09:31:21.4933333
AW00011154,1982-02-18,Female,2026-04-11 09:31:21.4933333
AW00011155,1981-07-25,Male,2026-04-11 09:31:21.4933333
AW00011156,1981-08-06,Female,2026-04-11 09:31:21.4933333
AW00011157,1980-12-08,Female,2026-04-11 09:31:21.4933333
AW00011158,1981-04-06,Male,2026-04-11 09:31:21.4933333
AW00011159,1981-03-16,Female,2026-04-11 09:31:21.4933333
AW00011160,1979-07-08,Male,2026-04-11 09:31:21.4933333
AW00011161,1979-10-20,Female,2026-04-11 09:31:21.4933333
AW00011162,1979-09-02,Male,2026-04-11 09:31:21.4933333
AW00011163,1980-06-18,Male,2026-04-11 09:31:21.4933333
AW00011164,1979-11-02,Male,2026-04-11 09:31:21.4933333
AW00011165,1979-01-15,Female,2026-04-11 09:31:21.4933333
AW00011166,1977-10-22,Female,2026-04-11 09:31:21.4933333
AW00011167,1978-01-29,Female,2026-04-11 09:31:21.4933333
AW00011168,1973-11-12,Male,2026-04-11 09:31:21.4933333
AW00011169,1973-12-20,Male,2026-04-11 09:31:21.4933333
AW00011170,1973-08-04,Female,2026-04-11 09:31:21.4933333
AW00011171,1978-10-05,Male,2026-04-11 09:31:21.4933333
AW00011172,1973-05-20,Female,2026-04-11 09:31:21.4933333
AW00011173,1973-02-28,Female,2026-04-11 09:31:21.4933333
AW00011174,1973-01-09,Male,2026-04-11 09:31:21.4933333
AW00011175,1968-09-01,Male,2026-04-11 09:31:21.4933333
AW00011176,1979-01-21,Male,2026-04-11 09:31:21.4933333
AW00011177,1948-01-01,Male,2026-04-11 09:31:21.4933333
AW00011178,1954-08-20,Male,2026-04-11 09:31:21.4933333
AW00011179,1959-12-08,Female,2026-04-11 09:31:21.4933333
AW00011180,1948-07-01,Female,2026-04-11 09:31:21.4933333
AW00011181,1960-02-01,Male,2026-04-11 09:31:21.4933333
AW00011182,1950-02-22,Female,2026-04-11 09:31:21.4933333
AW00011183,1950-01-12,Female,2026-04-11 09:31:21.4933333
AW00011184,1955-11-13,Female,2026-04-11 09:31:21.4933333
AW00011185,1950-04-07,Female,2026-04-11 09:31:21.4933333
AW00011186,1949-11-18,Female,2026-04-11 09:31:21.4933333
AW00011187,1949-08-21,Female,2026-04-11 09:31:21.4933333
AW00011188,1950-03-06,Female,2026-04-11 09:31:21.4933333
AW00011189,1950-01-12,Male,2026-04-11 09:31:21.4933333
AW00011190,1949-12-20,Male,2026-04-11 09:31:21.4933333
AW00011191,1951-06-17,Female,2026-04-11 09:31:21.4933333
AW00011192,1951-03-13,Male,2026-04-11 09:31:21.4933333
AW00011193,1950-08-13,Male,2026-04-11 09:31:21.4933333
AW00011194,1950-12-08,Female,2026-04-11 09:31:21.4933333
AW00011195,1951-08-10,Female,2026-04-11 09:31:21.4933333
AW00011196,1951-12-05,Male,2026-04-11 09:31:21.4933333
AW00011197,1951-12-16,Female,2026-04-11 09:31:21.4933333
AW00011198,1952-05-25,Female,2026-04-11 09:31:21.4933333
AW00011199,1957-11-02,Female,2026-04-11 09:31:21.4933333
AW00011200,1953-05-21,Male,2026-04-11 09:31:21.4933333
AW00011201,1953-02-14,Female,2026-04-11 09:31:21.4933333
AW00011202,1958-08-22,Female,2026-04-11 09:31:21.4933333
AW00011203,1959-08-18,Male,2026-04-11 09:31:21.4933333
AW00011204,1953-11-29,Female,2026-04-11 09:31:21.4933333
AW00011205,1954-01-21,Female,2026-04-11 09:31:21.4933333
AW00011206,1954-03-24,Male,2026-04-11 09:31:21.4933333
AW00011207,1954-01-16,Female,2026-04-11 09:31:21.4933333
AW00011208,1953-08-03,Female,2026-04-11 09:31:21.4933333
AW00011209,1953-07-12,Female,2026-04-11 09:31:21.4933333
AW00011210,1953-12-06,Male,2026-04-11 09:31:21.4933333
AW00011211,1960-10-08,Female,2026-04-11 09:31:21.4933333
AW00011212,1955-05-05,Female,2026-04-11 09:31:21.4933333
AW00011213,1954-11-11,Female,2026-04-11 09:31:21.4933333
AW00011214,1955-05-07,Male,2026-04-11 09:31:21.4933333
AW00011215,1961-06-17,Female,2026-04-11 09:31:21.4933333
AW00011216,1955-11-17,Female,2026-04-11 09:31:21.4933333
AW00011217,1955-08-11,Female,2026-04-11 09:31:21.4933333
AW00011218,1961-09-07,Female,2026-04-11 09:31:21.4933333
AW00011219,1956-05-31,Male,2026-04-11 09:31:21.4933333
AW00011220,1961-02-19,Female,2026-04-11 09:31:21.4933333
AW00011221,1955-12-08,Male,2026-04-11 09:31:21.4933333
AW00011222,1956-02-14,Female,2026-04-11 09:31:21.4933333
AW00011223,1957-03-15,Female,2026-04-11 09:31:21.4933333
AW00011224,1957-03-05,Female,2026-04-11 09:31:21.4933333
AW00011225,1962-02-12,Female,2026-04-11 09:31:21.4933333
AW00011226,1962-09-23,Female,2026-04-11 09:31:21.4933333
AW00011227,1962-08-08,Male,2026-04-11 09:31:21.4933333
AW00011228,1956-10-16,Female,2026-04-11 09:31:21.4933333
AW00011229,1957-06-01,Male,2026-04-11 09:31:21.4933333
AW00011230,1956-09-30,Female,2026-04-11 09:31:21.4933333
AW00011231,1963-11-11,Male,2026-04-11 09:31:21.4933333
AW00011232,1958-03-27,Female,2026-04-11 09:31:21.4933333
AW00011233,1963-09-06,Male,2026-04-11 09:31:21.4933333
AW00011234,1958-05-19,Female,2026-04-11 09:31:21.4933333
AW00011235,1957-08-07,Male,2026-04-11 09:31:21.4933333
AW00011236,1957-09-02,Male,2026-04-11 09:31:21.4933333
AW00011237,1964-03-22,Male,2026-04-11 09:31:21.4933333
AW00011238,1964-02-07,Female,2026-04-11 09:31:21.4933333
AW00011239,1969-10-02,Female,2026-04-11 09:31:21.4933333
AW00011240,1964-06-09,Female,2026-04-11 09:31:21.4933333
AW00011241,1974-04-06,Female,2026-04-11 09:31:21.4933333
AW00011242,1963-05-11,Male,2026-04-11 09:31:21.4933333
AW00011243,1963-04-08,Female,2026-04-11 09:31:21.4933333
AW00011244,1968-11-22,Female,2026-04-11 09:31:21.4933333
AW00011245,1962-04-26,Male,2026-04-11 09:31:21.4933333
AW00011246,1962-04-08,Female,2026-04-11 09:31:21.4933333
AW00011247,1961-12-04,Female,2026-04-11 09:31:21.4933333
AW00011248,1966-03-22,Male,2026-04-11 09:31:21.4933333
AW00011249,1966-07-09,Female,2026-04-11 09:31:21.4933333
AW00011250,1966-03-08,Female,2026-04-11 09:31:21.4933333
AW00011251,1938-01-01,Male,2026-04-11 09:31:21.4933333
AW00011252,1937-12-05,Male,2026-04-11 09:31:21.4933333
AW00011253,1949-08-24,Male,2026-04-11 09:31:21.4933333
AW00011254,1938-08-31,Male,2026-04-11 09:31:21.4933333
AW00011255,1938-10-02,Male,2026-04-11 09:31:21.4933333
AW00011256,1939-03-20,Female,2026-04-11 09:31:21.4933333
AW00011257,NULL,Female,2026-04-11 09:31:21.4933333
AW00011258,1938-12-26,Male,2026-04-11 09:31:21.4933333
AW00011259,1970-09-24,Female,2026-04-11 09:31:21.4933333
AW00011260,1976-04-08,Female,2026-04-11 09:31:21.4933333
AW00011261,1970-10-22,Female,2026-04-11 09:31:21.4933333
AW00011262,1975-05-01,Female,2026-04-11 09:31:21.4933333
AW00011263,1970-03-11,Female,2026-04-11 09:31:21.4933333
AW00011264,1969-12-15,Male,2026-04-11 09:31:21.4933333
AW00011265,1970-01-10,Female,2026-04-11 09:31:21.4933333
AW00011266,1969-11-02,Female,2026-04-11 09:31:21.4933333
AW00011267,1975-09-29,Male,2026-04-11 09:31:21.4933333
AW00011268,1969-10-31,Female,2026-04-11 09:31:21.4933333
AW00011269,1975-10-10,Male,2026-04-11 09:31:21.4933333
AW00011270,1975-05-01,Male,2026-04-11 09:31:21.4933333
AW00011271,1969-12-03,Female,2026-04-11 09:31:21.4933333
AW00011272,1962-05-10,Female,2026-04-11 09:31:21.4933333
AW00011273,1962-03-31,Male,2026-04-11 09:31:21.4933333
AW00011274,1939-10-10,Male,2026-04-11 09:31:21.4933333
AW00011275,1939-07-18,Female,2026-04-11 09:31:21.4933333
AW00011276,1974-09-15,Female,2026-04-11 09:31:21.4933333
AW00011277,1968-12-07,Male,2026-04-11 09:31:21.4933333
AW00011278,1969-02-16,Male,2026-04-11 09:31:21.4933333
AW00011279,1974-09-08,Female,2026-04-11 09:31:21.4933333
AW00011280,1969-02-17,Male,2026-04-11 09:31:21.4933333
AW00011281,1974-10-06,Female,2026-04-11 09:31:21.4933333
AW00011282,1967-07-16,Male,2026-04-11 09:31:21.4933333
AW00011283,1968-04-24,Male,2026-04-11 09:31:21.4933333
AW00011284,1967-09-24,Female,2026-04-11 09:31:21.4933333
AW00011285,1973-03-15,Male,2026-04-11 09:31:21.4933333
AW00011286,1967-08-31,Male,2026-04-11 09:31:21.4933333
AW00011287,1966-07-16,Male,2026-04-11 09:31:21.4933333
AW00011288,1978-03-12,Female,2026-04-11 09:31:21.4933333
AW00011289,1972-03-03,Female,2026-04-11 09:31:21.4933333
AW00011290,1972-08-14,Female,2026-04-11 09:31:21.4933333
AW00011291,1972-05-01,Female,2026-04-11 09:31:21.4933333
AW00011292,1967-05-05,Male,2026-04-11 09:31:21.4933333
AW00011293,1960-11-23,Male,2026-04-11 09:31:21.4933333
AW00011294,1961-03-02,Male,2026-04-11 09:31:21.4933333
AW00011295,1959-11-13,Female,2026-04-11 09:31:21.4933333
AW00011296,1941-04-05,Female,2026-04-11 09:31:21.4933333
AW00011297,1940-08-01,Male,2026-04-11 09:31:21.4933333
AW00011298,1940-08-30,Male,2026-04-11 09:31:21.4933333
AW00011299,1941-09-29,Male,2026-04-11 09:31:21.4933333
AW00011300,1965-08-31,Male,2026-04-11 09:31:21.4933333
AW00011301,1965-12-07,Male,2026-04-11 09:31:21.4933333
AW00011302,1971-12-09,Male,2026-04-11 09:31:21.4933333
AW00011303,1966-04-10,Female,2026-04-11 09:31:21.4933333
AW00011304,1971-03-14,Female,2026-04-11 09:31:21.4933333
AW00011305,1965-12-17,Male,2026-04-11 09:31:21.4933333
AW00011306,1965-12-20,Male,2026-04-11 09:31:21.4933333
AW00011307,1965-10-31,Male,2026-04-11 09:31:21.4933333
AW00011308,1959-09-02,Male,2026-04-11 09:31:21.4933333
AW00011309,1959-12-10,Female,2026-04-11 09:31:21.4933333
AW00011310,1964-07-05,Female,2026-04-11 09:31:21.4933333
AW00011311,1959-02-21,Female,2026-04-11 09:31:21.4933333
AW00011312,1958-10-01,Female,2026-04-11 09:31:21.4933333
AW00011313,1958-08-27,Male,2026-04-11 09:31:21.4933333
AW00011314,1970-06-16,Female,2026-04-11 09:31:21.4933333
AW00011315,1959-03-31,Female,2026-04-11 09:31:21.4933333
AW00011316,1959-05-17,Male,2026-04-11 09:31:21.4933333
AW00011317,1963-09-14,Female,2026-04-11 09:31:21.4933333
AW00011318,1958-04-25,Female,2026-04-11 09:31:21.4933333
AW00011319,1948-04-23,Female,2026-04-11 09:31:21.4933333
AW00011320,1942-12-24,Female,2026-04-11 09:31:21.4933333
AW00011321,1944-01-05,Male,2026-04-11 09:31:21.4933333
AW00011322,1943-09-12,Female,2026-04-11 09:31:21.4933333
AW00011323,1943-12-18,Male,2026-04-11 09:31:21.4933333
AW00011324,1944-11-10,Male,2026-04-11 09:31:21.4933333
AW00011325,1944-12-29,Male,2026-04-11 09:31:21.4933333
AW00011326,1944-12-23,Male,2026-04-11 09:31:21.4933333
AW00011327,1945-09-01,Male,2026-04-11 09:31:21.4933333
AW00011328,1945-06-30,Male,2026-04-11 09:31:21.4933333
AW00011329,1946-01-22,Male,2026-04-11 09:31:21.4933333
AW00011330,1945-11-10,Male,2026-04-11 09:31:21.4933333
AW00011331,1974-01-03,Female,2026-04-11 09:31:21.4933333
AW00011332,1968-04-02,Female,2026-04-11 09:31:21.4933333
AW00011333,1968-01-07,Female,2026-04-11 09:31:21.4933333
AW00011334,1966-09-19,Female,2026-04-11 09:31:21.4933333
AW00011335,1977-12-18,Female,2026-04-11 09:31:21.4933333
AW00011336,1973-03-08,Male,2026-04-11 09:31:21.4933333
AW00011337,1967-03-21,Male,2026-04-11 09:31:21.4933333
AW00011338,1972-08-06,Male,2026-04-11 09:31:21.4933333
AW00011339,1967-01-05,Male,2026-04-11 09:31:21.4933333
AW00011340,1947-04-03,Female,2026-04-11 09:31:21.4933333
AW00011341,1942-02-18,Male,2026-04-11 09:31:21.4933333
AW00011342,1973-03-07,Male,2026-04-11 09:31:21.4933333
AW00011343,1975-03-09,Male,2026-04-11 09:31:21.4933333
AW00011344,1963-01-21,Female,2026-04-11 09:31:21.4933333
AW00011345,1962-09-09,Female,2026-04-11 09:31:21.4933333
AW00011346,1966-05-18,Female,2026-04-11 09:31:21.4933333
AW00011347,1972-06-17,Male,2026-04-11 09:31:21.4933333
AW00011348,1961-03-21,Male,2026-04-11 09:31:21.4933333
AW00011349,1965-08-30,Female,2026-04-11 09:31:21.4933333
AW00011350,1942-07-14,Female,2026-04-11 09:31:21.4933333
AW00011351,1950-04-02,Female,2026-04-11 09:31:21.4933333
AW00011352,1945-09-04,Male,2026-04-11 09:31:21.4933333
AW00011353,1946-12-09,Female,2026-04-11 09:31:21.4933333
AW00011354,1947-08-23,Female,2026-04-11 09:31:21.4933333
AW00011355,1948-06-26,Male,2026-04-11 09:31:21.4933333
AW00011356,1985-11-24,Male,2026-04-11 09:31:21.4933333
AW00011357,1984-09-19,Male,2026-04-11 09:31:21.4933333
AW00011358,1984-05-10,Female,2026-04-11 09:31:21.4933333
AW00011359,1984-03-03,Male,2026-04-11 09:31:21.4933333
AW00011360,1984-01-30,Male,2026-04-11 09:31:21.4933333
AW00011361,1982-10-26,Female,2026-04-11 09:31:21.4933333
AW00011362,1983-05-11,Male,2026-04-11 09:31:21.4933333
AW00011363,1983-04-19,Male,2026-04-11 09:31:21.4933333
AW00011364,1985-03-22,Female,2026-04-11 09:31:21.4933333
AW00011365,1984-12-06,Female,2026-04-11 09:31:21.4933333
AW00011366,1985-04-23,Female,2026-04-11 09:31:21.4933333
AW00011367,1984-08-21,Male,2026-04-11 09:31:21.4933333
AW00011368,1984-05-24,Male,2026-04-11 09:31:21.4933333
AW00011369,1984-02-01,Female,2026-04-11 09:31:21.4933333
AW00011370,1983-09-29,Female,2026-04-11 09:31:21.4933333
AW00011371,1983-11-24,Female,2026-04-11 09:31:21.4933333
AW00011372,1983-11-12,Female,2026-04-11 09:31:21.4933333
AW00011373,1954-09-16,Female,2026-04-11 09:31:21.4933333
AW00011374,1948-12-25,Male,2026-04-11 09:31:21.4933333
AW00011375,1948-11-05,Male,2026-04-11 09:31:21.4933333
AW00011376,1948-12-07,Male,2026-04-11 09:31:21.4933333
AW00011377,1966-08-23,Male,2026-04-11 09:31:21.4933333
AW00011378,1965-11-19,Female,2026-04-11 09:31:21.4933333
AW00011379,1976-05-13,Male,2026-04-11 09:31:21.4933333
AW00011380,1964-08-29,Male,2026-04-11 09:31:21.4933333
AW00011381,1970-08-18,Female,2026-04-11 09:31:21.4933333
AW00011382,1974-07-15,Male,2026-04-11 09:31:21.4933333
AW00011383,1966-02-25,Female,2026-04-11 09:31:21.4933333
AW00011384,1971-10-13,Female,2026-04-11 09:31:21.4933333
AW00011385,1971-08-08,Male,2026-04-11 09:31:21.4933333
AW00011386,1971-11-02,Female,2026-04-11 09:31:21.4933333
AW00011387,1964-11-29,Female,2026-04-11 09:31:21.4933333
AW00011388,1965-01-20,Male,2026-04-11 09:31:21.4933333
AW00011389,1981-04-20,Male,2026-04-11 09:31:21.4933333
AW00011390,1976-04-17,Female,2026-04-11 09:31:21.4933333
AW00011391,1976-06-25,Female,2026-04-11 09:31:21.4933333
AW00011392,1981-02-03,Male,2026-04-11 09:31:21.4933333
AW00011393,1974-07-17,Male,2026-04-11 09:31:21.4933333
AW00011394,1975-04-22,Male,2026-04-11 09:31:21.4933333
AW00011395,1976-04-16,Female,2026-04-11 09:31:21.4933333
AW00011396,1975-04-04,Male,2026-04-11 09:31:21.4933333
AW00011397,1974-12-02,Female,2026-04-11 09:31:21.4933333
AW00011398,1975-03-09,Male,2026-04-11 09:31:21.4933333
AW00011399,1975-02-01,Female,2026-04-11 09:31:21.4933333
AW00011400,1980-04-15,Male,2026-04-11 09:31:21.4933333
AW00011401,1975-02-23,Female,2026-04-11 09:31:21.4933333
AW00011402,1975-05-20,Female,2026-04-11 09:31:21.4933333
AW00011403,1980-01-06,Female,2026-04-11 09:31:21.4933333
AW00011404,1957-06-30,Female,2026-04-11 09:31:21.4933333
AW00011405,1957-08-16,Female,2026-04-11 09:31:21.4933333
AW00011406,1957-12-31,Female,2026-04-11 09:31:21.4933333
AW00011407,1957-09-30,Male,2026-04-11 09:31:21.4933333
AW00011408,1964-05-10,Male,2026-04-11 09:31:21.4933333
AW00011409,1979-03-02,Female,2026-04-11 09:31:21.4933333
AW00011410,NULL,Male,2026-04-11 09:31:21.4933333
AW00011411,1959-08-12,Male,2026-04-11 09:31:21.4933333
AW00011412,1959-10-07,Female,2026-04-11 09:31:21.4933333
AW00011413,1959-10-13,Female,2026-04-11 09:31:21.4933333
AW00011414,1959-09-15,Male,2026-04-11 09:31:21.4933333
AW00011415,1949-12-03,Male,2026-04-11 09:31:21.4933333
AW00011416,1950-09-16,Female,2026-04-11 09:31:21.4933333
AW00011417,1950-08-26,Female,2026-04-11 09:31:21.4933333
AW00011418,1950-08-09,Male,2026-04-11 09:31:21.4933333
AW00011419,1950-08-18,Male,2026-04-11 09:31:21.4933333
AW00011420,1952-01-09,Male,2026-04-11 09:31:21.4933333
AW00011421,1952-01-16,Female,2026-04-11 09:31:21.4933333
AW00011422,1952-02-29,Male,2026-04-11 09:31:21.4933333
